Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
XGBoost,0.86,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.87,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.88,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.89,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.9,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.91,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.92,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.93,0.9863013698630136,0.7578947368421053,0.8571428571428571,0.7947019867547981,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.24210526315789474,0.001286434286117083,56650,1,23,72
XGBoost,0.9400000000000001,0.9863013698630136,0.7578947368421053,0.8571428571428571,0.7947019867547981,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.24210526315789474,0.001286434286117083,56650,1,23,72
XGBoost,0.9500000000000001,0.9861111111111112,0.7473684210526316,0.8502994011976047,0.7853982300883281,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.25263157894736843,0.0012688118986360273,56650,1,24,71
XGBoost,0.9600000000000001,0.9857142857142858,0.7263157894736842,0.8363636363636364,0.7666666666665024,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.2736842105263158,0.0012335671236739154,56650,1,26,69
XGBoost,0.97,0.9857142857142858,0.7263157894736842,0.8363636363636364,0.7666666666665024,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.2736842105263158,0.0012335671236739154,56650,1,26,69
XGBoost,0.98,0.9852941176470589,0.7052631578947368,0.8220858895705521,0.7477678571426961,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.29473684210526313,0.0011983223487118035,56650,1,28,67
XGBoost,0.99,0.9850746268656716,0.6947368421052632,0.8148148148148148,0.7382550335568876,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.30526315789473685,0.0011806999612307475,56650,1,29,66
CatBoost,0.01,0.13377926421404682,0.8421052631578947,0.23088023088023085,0.40899795500992786,0.9757306276936627,0.8138259782441386,0.9908562955640677,0.009143704435932288,0.15789473684210525,0.010538187713671448,56133,518,15,80
CatBoost,0.02,0.23582089552238805,0.8315789473684211,0.36744186046511623,0.5524475524472412,0.9757306276936627,0.8138259782441386,0.9954811035992304,0.004518896400769625,0.16842105263157894,0.005903499806153738,56395,256,16,79
CatBoost,0.03,0.3333333333333333,0.8210526315789474,0.4741641337386017,0.6351791530941676,0.9757306276936627,0.8138259782441386,0.997246297505781,0.0027537024942189898,0.17894736842105263,0.004123638670567089,56495,156,17,78
CatBoost,0.04,0.37320574162679426,0.8210526315789474,0.513157894736842,0.662139219014994,0.9757306276936627,0.8138259782441386,0.9976875959824186,0.0023124040175813315,0.17894736842105263,0.00368307898354069,56520,131,17,78
CatBoost,0.05,0.41711229946524064,0.8210526315789474,0.5531914893617021,0.6878306878304116,0.9757306276936627,0.8138259782441386,0.9980759386418598,0.0019240613581401917,0.17894736842105263,0.0032953864589574597,56542,109,17,78
CatBoost,0.060000000000000005,0.4727272727272727,0.8210526315789474,0.6,0.7155963302749655,0.9757306276936627,0.8138259782441386,0.9984642813013009,0.0015357186986990521,0.17894736842105263,0.002907693934374229,56564,87,17,78
CatBoost,0.06999999999999999,0.5098039215686274,0.8210526315789474,0.6290322580645161,0.7317073170729149,0.9757306276936627,0.8138259782441386,0.998676104570087,0.001323895429912976,0.17894736842105263,0.0026962252846015576,56576,75,17,78
CatBoost,0.08,0.5416666666666666,0.8210526315789474,0.6527196652719666,0.7442748091600562,0.9757306276936627,0.8138259782441386,0.9988349720216766,0.001165027978323419,0.17894736842105263,0.0025376237972720545,56585,66,17,78
CatBoost,0.09,0.5703703703703704,0.8105263157894737,0.6695652173913044,0.7475728155337388,0.9757306276936627,0.8138259782441386,0.9989761875342006,0.001023812465799368,0.18947368421052632,0.002379022309942551,56593,58,18,77
CatBoost,0.09999999999999999,0.5877862595419847,0.8105263157894737,0.6814159292035399,0.7534246575340083,0.9757306276936627,0.8138259782441386,0.9990467952904627,0.0009532047095373426,0.18947368421052632,0.002308532760018327,56597,54,18,77
CatBoost,0.11,0.608,0.8,0.6909090909090909,0.7524752475245197,0.9757306276936627,0.8138259782441386,0.9991350549857901,0.000864945014209811,0.2,0.002202798435131992,56602,49,19,76
CatBoost,0.12,0.6495726495726496,0.8,0.7169811320754716,0.7645875251506804,0.9757306276936627,0.8138259782441386,0.9992762704983142,0.0007237295016857602,0.2,0.0020618193352835443,56610,41,19,76
CatBoost,0.13,0.672566371681416,0.8,0.730769230769231,0.7707910750504892,0.9757306276936627,0.8138259782441386,0.9993468782545762,0.0006531217454237348,0.2,0.0019913297853593206,56614,37,19,76
CatBoost,0.14,0.6785714285714286,0.8,0.7342995169082126,0.7723577235770162,0.9757306276936627,0.8138259782441386,0.9993645301936418,0.0006354698063582285,0.2,0.0019737073978782645,56615,36,19,76
